productId,productName,longDescription,nature_code,target_code
12,Le Sérum Régénération Grande - Soin Visage,"<p><strong>Le Sérum Régénération est un sérum suralimenté qui aide à soutenir le collagène naturel et le renouvellement de la peau.</strong><br>La prochaine (re)génération est arrivée.</p>
<br><br>
<p>Grâce à une science avancée, à de nouveaux actifs d'origine marine et à une dose renforcée de <strong>Miracle Broth™</strong>, qui renouvelle les cellules, ce sérum régénération aide la peau à amplifier le collagène naturel pour un renouvellement visible.<br><br>L'apparence des lignes et des rides?<br>Rapidement réduite.<br><br><strong>Votre peau ?</strong><br>Activement renforcée par une apparence de vitalité nouvelle.<br><br>Les produits de soins de la peau La Mer ciblent, préparent et transforment votre peau. D'une efficacité inégalée, notre sérum régénération diffuse ses puissants ingrédients en profondeur à la surface de la peau pour des résultats visibles.<br><br>Ce sérum La Mer hydrate, illumine et raffermit votre épiderme pour un teint éclatant de santé.<br>Ce sérum légendaire aide la peau à relancer son <strong>processus naturel de régénération</strong>. Il réduit l'apparence des rides et ridules.<br><br>Le sérum régénérant La Mer est idéal pour les peaux normales, sèches, mixtes et grasses.</p>
<br><br>
<p>Aide la peau à stimuler sa production de collagène permettant de réduire visiblement les imperfections.</p>",SERUM,FEMME
13,WILD Obsessions - Palette de fards à paupières Jaguar,"<img style=""width:18%; display:inline-block;"" src=""https://edge.disstg.commercecloud.salesforce.com/dw/image/v2/BCZG_STG/on/demandware.static/-/Library-Sites-SephoraV2/default/v575c67102dd6790f4395f1ba20e06f5148b020bf/LP/beaute-bio-vegan-naturelle/SEPHORA_SUSTAINABILITY_VEGAN_SEAL_RVB.png""><br><br>Le produit : <br>
Libérez votre côté sauvage avec cette mini palette de fards à paupières universelles en édition limitée, offrant une combinaison de couleurs intenses, à votre image ! 	<br><br>

Jaguar : Voici vos teintes de smokey eyes avec des violets monochromes, un gris étincelant, un bronze moucheté et un noir absolu.
<br><br>

Particularités : <br>
Que vous souhaitiez une touche de couleur douce ou un smokey eye sauvage, nous avons ce qu’il vous faut, de jour comme de nuit !<br><br>

Cette palette de neuf couleurs renferme quatre finitions innovantes, qui rehausseront tous les regards : des mats doux comme du velours, des métallisés complémentaires (scintillants et effet alu !), ainsi qu’un motif python en relief 3D multiréfléchissant totalement inédit.
 <br><br>
Les mats crémeux se fondent parfaitement sur la paupière, les sublimes teintes métallisées semi-transparentes ajoutent une touche de glamour et les teintes métallisées à effet alu apportent une dimension saisissante. Pour des looks toujours réussis.<br>
Polyvalente, ultra-modulable et facile à mélanger, la formule s’applique à merveille sans bavure (au pinceau ou au doigt !).<div><p><strong>Vegan : </strong>Des produits sans ingrédient d’origine animale.</p></div>",PALETYEUX,FEMME
14,Le Rose Perfecto - Baume à lèvres repulpant,"Baume couture aux bénéfices 3-en-1, le Rose Perfecto apporte soin, galbe et couleur lumineuse aux lèvres. <br>En un seul geste, ce baume au beurre de karité et à l’extrait de poivre rose enrobe les lèvres d’un confort soin intense, et leur apporte un galbe immédiat. La couleur naturelle des lèvres est progressivement révélée et sublimée par un complexe réagissant au PH de la peau, pour un résultat rosé subtil et sur-mesure. Habillé d’un authentique cuir rose, le rose perfecto est le nouveau baume couture indispensable pour un look tendance et un maquillage frais et naturel.",RAL,FEMME
15,M'Eye Love - Mascara Waterproof Volume et courbe,"M'EYE LOVE est l'alliance parfaite d'une texture crémeuse qui enveloppe les cils un à un, et d'une brosse en silicone haute précision qui détend les cils. <br><br>Sa formule waterproof sera un véritable allié à l'épreuve des après-midis piscine, des fous rires, et des rendez-vous romantiques. <br><br>M'EYE LOVE apporte volume, définition et longueur pour un regard tout en séduction qui en fera tomber plus d'un.",MASCARAS,FEMME
16,Shiseido Men - Nettoyant visage mousse,"Une mousse à la texture riche et onctueuse composée qui nettoie la peau en profondeur et élimine les impuretés pour une peau fraiche et lisse toute la journée.<br><br>

Une mousse 2 en 1 qui peut s'utiliser également comme mousse à raser. Grâce à la technologie triple TSUBAKI™*, elle élimine les impuretés et les résidus d'huile tout en conservant l'hydratation de la peau pour une peau fraîche et lisse.<br><br>

*Test in vitro<br><br>
NON COMÉDOGÈNE.<br>
TESTÉ PAR LES DERMATOLOGUES<br>",NETTOYANT,HOMME
17,L'Unique Shampooing Signature,"Un shampooing à usage quotidien adapté à tous les types de cheveux, qui nettoie en douceur tout en apportant hydratation et brillance. <br><br>Cette formule ultra-moussante nettoie les cheveux tout en préservant leurs lipides naturels.<br>
Apporte hydratation et brillance. <br><br>
Convient à tous les types de cheveux. <br><br>
Parfumé de l’odeur signature Kristin Ess.
",SHAMPOINGS,FEMME
18,The Ritual of Yozakura - Coffret Garden of Happiness,"Découvrez le coffret cadeau idéal, composé de 10 produits soigneusement sélectionnés. <br><br>À l'intérieur, vous trouverez nos produits Rituals les plus vendus et de nos tout nouveaux produits, conçus pour vous aider, vous ou vos proches, à profiter pleinement d'une expérience bien-être ultime.<br><br>Ce coffret contient :<br>- 1 X The Ritual of Sakura Parfum d'Intérieur 50ml<br>- 1 X The Ritual of Sakura Baume mains 70ml<br>- 1 X Eau de Parfum Rêve de Hanami 15ml<br>- 1 X The Ritual of Sakura Mousse de douche 50ml<br>- 1 X The Ritual of Yozakura Mousse de douche 200ml<br>- 1 X The Ritual of Sakura Body Lotion Mousse 150ml<br>- 1 X The Ritual of Yozakura Crème riche pour le corps 40 ml<br>- 1 X The Ritual of Yozakura Huile scintillante pour le corps 30ml<br>- 1 X The Ritual of Yozakura Gommage rose au sucre 45gr<br>- 1 X The Ritual of Yozakura Bougie parfumée 25g",COFFRET,FEMME
19,Luxury Palette The Sophisticate - Palette de 4 fards à paupières,"<img style=""width:18%; display:inline-block;"" src=""https://edge.disstg.commercecloud.salesforce.com/dw/image/v2/BCZG_STG/on/demandware.static/-/Library-Sites-SephoraV2/default/v575c67102dd6790f4395f1ba20e06f5148b020bf/LP/beaute-bio-vegan-naturelle/SEPHORA_SUSTAINABILITY_VEGAN_SEAL_RVB.png""><br><br>La luxury palette ""The Sophisticate"" est une palette de 4&nbsp;fards à paupières&nbsp;: des nuances de chocolat, taupe, foncé et crème pour un look discret qui transcende les saisons!<br><br>

EN QUOI CETTE PALETTE EST-ELLE MAGIQUE&nbsp;?<br><br>

Obtenez au bureau ou à la tombée de la nuit un smoky disco en quelques minutes.<br>
Des teintes très pigmentées pour une couleur durable tout au long de la journée et de la nuit.<br>
Idéal si vous voulez un maquillage intemporel pour les yeux en toute occasion!<br><div><p><strong>Vegan : </strong>Des produits sans ingrédient d’origine animale.</p></div>",PALETYEUX,FEMME
20,Pamper Pals Gift Set - Coffret Noël,"Le coffret cadeau en édition limitée a tout ce dont vous avez besoin pour une journée avec des cheveux parfaits. Conçu pour TOUS les types de cheveux et plusieurs fois primé, « Like A Virgin » est conçu pour remettre vos cheveux à leur pur état vierge.<br><br>

Le masque capillaire : <br>
Un masque qui aide à renforcer et à redonner aux cheveux leur pur état vierge. Il nourrit les cheveux endommagés. Il aide à améliorer la brillance et la texture. Il hydrate et cible les frisottis.<br><br>

Le démêlant extrême <br>
Avec la technologie à poils mixtes, il démêle les cheveux avec un minimum de cassures et de dommages. Il aide à l'application du masque. Il aide à l'entretien de vos nouvelles mèches brillantes.<br><br>

L'enveloppe capillaire : <br>
Une serviette en microfibre douce et super absorbante pour les cheveux dans un imprimé de feuilles tropicales. <br>
Elle sèche les cheveux rapidement et facilement, en réduisant considérablement le temps de séchage.<br>
Elle combat les frisottis, les frottements et les mèches rebelles des serviettes ordinaires.<br>
Elle protège les draps lorsque vous dormez avec notre masque capillaire pendant la nuit.",COFFRET,FEMME
22,Purifying Face Wash - Nettoyant visage purifiant,"<img style=""width:8%; display:inline-block;"" src=""LP/sephora/goodFor/goodFor_.png?$staticlink$?q=75"" alt=""Certified organic - Vegan"">

<img style=""width:8%; display:inline-block;"" src=""LP/sephora/goodFor/goodFor_planet.png?$staticlink$?q=75"" alt=""Certified organic - Vegan"">

<img style=""width:8%; display:inline-block;"" src=""LP/sephora/goodFor/goodFor_vegan_.png?$staticlink$?q=75"" alt=""Certified organic - Vegan"">

<br><br>Éliminez maquillage et impuretés en douceur avec ce nettoyant moussant riche en antioxydants. <br><br>Des extraits de prune de java, d'orange et de lavande purifient la peau tout en éliminant l'excès de sébum. Le clou de girofle, la bardane et la mandarine donnent à la peau un teint plus clair et plus éclatant. <br><br>La rose de Damas et le jasmin confèrent à la peau douceur et souplesse sans tension.<br><br><span style=""font-weight: bold;"">
GOOD FOR YOU</span>*<br>
Des formules composées à 90% minimum d’ingrédients d’origine naturelle<br><br><span style=""font-weight: bold;"">
GOOD FOR A BETTER PLANET</span>**<br>
Des emballages éco-conçus et/ou un sourcing responsable des ingrédients<br><br><span style=""font-weight: bold;"">
GOOD FOR VEGAN</span>***<br>
Des produits sans ingrédient d’origine animale<br><br>
*Bon pour vous<br>
**Bons gestes pour prendre mieux soin de la planète<br>
***Bon pour les végétaliens",NETTOYANT,FEMME
23,La Petite Robe Noire - Le Rouge Délicieusement Brillant,"Guerlain cr&eacute;e le rouge &agrave; l&egrave;vres La Petite Robe Noire absolument indispensable et totalement irr&eacute;sistible &agrave; la texture gourmande &amp; ultra-brillante pour r&eacute;inventer chaque jour votre petite robe noire.<br /><br />Des teintes vibrantes &agrave; la texture in&eacute;dite : <br />- une texture sans effet de mati&egrave;re qui r&eacute;v&egrave;le l&rsquo;&eacute;clat naturel des l&egrave;vres et leur apporte souplesse et confort<br />- une couvrance que l&rsquo;on peut moduler &agrave; volont&eacute; gr&acirc;ce au film fin : une couche pour laisser deviner le grain sensuel des l&egrave;vres, plusieurs pour un fini plus dense et sophistiqu&eacute;<br />- une fragrance florale fruit&eacute;e inspir&eacute;e du parfum La Petite Robe Noire et une saveur d&eacute;licieuse pour un go&ucirc;t inoubliable sur vos l&egrave;vres<br />- un fini ultra-brillant et des couleurs pures gr&acirc;ce &agrave; un cocktail d&rsquo;huiles fines et pigments POP pour un effet laqu&eacute; et lumineux<br>",RAL,FEMME
24,Biology Ac - Gel moussant nettoyant purifiant,"Le gel moussant BIOLOGY AC dermatologique et certifié BIO nettoie en douceur les peaux grasses à tendance acnéique, sans les dessécher grâce à sa formule au pH physiologique et sans savon. Il désincruste efficacement les pores. Débarrassée de ses impuretés, la peau est nette, purifiée, son équilibre est préservé. Destiné aux pré-adolescents dès 9 ans, aux adolescents et aux adultes, sa formule biodégradable<sup>(1)</sup> est composé à 99% d'ingrédients d'origine naturelle et contient de l'Avoine Rhealba® issue de l'agriculture biologique. Sa mousse onctueuse se rince facilement et son parfum doux et végétal apporte une agréable sensation de fraîcheur. <br>
Avoine Rhealba® issue de l'agriculture biologique.<br>
Info Vegan : sans ingrédient d'origine animale.<br>
<p class=""mention9"">(1) Selon la norme OCDE 301B</p><p style=""text-align: center;""><span style=""font-size:18px;""><u><a href=https://www.sephora.fr/aide-sephora><span style=""background-color:#ffffff;"">Contacter nos Pharmaciens</span></a></u></span></p>

<p class=""mention9""><strong>- Besoin de conseils ? Nos pharmaciens vous r&eacute;pondent</strong></p>

<p class=""mention9"">Vous avez besoin de conseils pour trouver le soin qui correspond &agrave; votre peau ou identifier la routine parfaite ? Contactez nos pharmaciens, ils vous r&eacute;pondront le plus rapidement possible !</p>",NETTOYANT,FEMME
25,Nutri Lumière Revive - Crème Jour embellissante revitalisante ,"Nutri-Lumière Revive, tout commence par la lumière.<br>
Le soin de jour anti-âge d'exception à la texture fondante qui neutralise le teint jaune, embellit immédiatement la peau et ravive son éclat.  La peau est nourrie, revitalisée et paraît plus jeune. <br><br>
Le plus de cette crème visage anti-âge jour :<br>
9 extraits de plantes présents dans la Nutri Lumière Revive sont certifiés bio :<br>
-L'extrait de Wakame bio + squalane renforce la fonction barrière et fortifient la peau<br>
-L'extrait de Kalanchoé bio relance la capacité d'auto-hydratation de la peau<br>
-L'extrait d'Harungana bio + Tétrapeptides anti-âge améliorent la densité de la peau<br>
-L'extrait de Dattier du désert bio cible les taches pour unifier le teint<br>
-L'extrait de Beurre de Karité bio + huile de jojoba bio nourrissent la peau et l'adoucissent <br>
-L'extrait de Sucres d'avoine bio apportent un effet lift immédiat<br><br>

Pour qui ?<br>
Toutes les femmes à partir de 60 ans à la peau dévitalisée, préoccupées par le manque de luminosité et le teint terne qui jaunit.<br><br>

MADE IN FRANCE<sup>(1)</sup><br><br> (<p class=""mention9"">(1) Fabriqué en France</p>)",CREM JOUR,FEMME
26,Kit de maquillage Rouge Universel - Coffret maquillage,"<span style=""font-weight: bold;"">POURQUOI ON AIME ?</span><br>Un kit d'essentiel de maquillage rouge universel.<br><br>Un kit de best sellers de maquillage SEPHORA COLLECTION.<br><br>Un kit de 3 produits maquillage rouge !<br>- Un Cream lip stain* Mat #1 Always Red à la couleur intense et longue tenue.<br>- Un vernis à ongles Color Hit #L43 It Girl longue tenue et brillance 5 jours.<br>- Un blush Colorful #27 Charmed pour un teint instantanément réhaussé, frais et éclatant.<br><br><br>*Rouge velouté sans transfert",COFFRET,FEMME
27,Shampooing solide hydratant à l'aloe vera,"Nouveau look, produit iconique.
<br><br>
Ce shampooing solide artisanal élaboré par saponification à froid et composé à 99.7% d'ingrédients d'origine naturelle, délivre une mousse crémeuse pour laver tout en douceur les cheveux et le corps.

<br><br>",SHAMPOINGS,FEMME
28,Just Peachy Matte EyeShadow Palette - Palette de fards à paupières,"La palette Just Peachy Matte est infusée de <span style=""font-weight: bold;"">pêche rafraîchissante</span> et d'<span style=""font-weight: bold;"">extrait de figue</span> sucrée dans notre <span style=""font-weight: bold;"">formule exclusive et moderne Comfort Matte</span> qui assure un rendu intense des couleurs et une fluidité hors pair des ombres à paupières.<br><br>

Créez un nombre infini de looks avec <span style=""font-weight: bold;"">12 teintes mates</span> aux tons pêche chauds, crème onctueux et bruns riches, divinement parfumées et agréables au toucher.<br><br>

-Glisse sur une couleur saturée et modulable.<br>
-Offre une finition mate.<br>
-Dispose d'une disposition ombrée pour des transitions faciles.<br>
-Senteurs pêches et crème.",PALETYEUX,FEMME
29,Luxe Lip Color - Rouge à Lèvres,"<div>Un rouge à lèvres <b>intense</b> et <b>hydratant</b>&nbsp;</div><br>

<div>Un rouge à lèvre<strong>s</strong> hydratant au <b>fini satiné</b>&nbsp;qui sublime les lèvres tout en les régénérant.</div><div>&nbsp;Les couleurs des rouges à lèvres aux sous-tons neutres conviennent à toutes les carnations.&nbsp;</div><div>&nbsp;</div><div><span style=""text-decoration-line: underline;"">Pourquoi on l'aime:</span></div><div>Un rouge à lèvres infusé soin pour un confort et une <b>couvrance intense</b>:</div><div> <b>10 heures</b> d'hydratation nourrissante, 10 heures de tenue&nbsp;</div><div> Aide à nourrir, revitaliser et adoucir les lèvres</div><div> Teintes ultra-portables conçues pour flatter toutes les carnations</div><br>

<ul><li>S'applique sans effort et hydrate pendant 10 heures.&nbsp;</li><li>Une infusion <b>d'extraits de fleurs</b> et de <b>cire</b> permet de nourrir, de soigner et d'adoucir les lèvres.&nbsp;&nbsp;</li><li>Réduit instantanément l'apparence des ridules et améliore l'état des lèvres après une semaine seulement.&nbsp;</li><li>Ne file pas.</li></ul>",RAL,FEMME
30,Hooked - Shampoing pour Cheveux Bouclés,"<span style=""font-size: 13px;"">Le shampoing « Hooked » a pour but de nettoyer le cheveu et le cuir chevelu avant de le cibler. Contrairement aux co-wash souvent recommandés pour les cheveux bouclés, ce shampoing nettoie la boucle et ne laisse aucun résidus. <br>Il est sans sulfates et sans silicones, pour une boucle qui sera prête à recevoir pleinement des soins d’hydratation. <br>Mais aussi, c’est un shampoing qui mousse pour une utilisation agréable.</span><br><p></p>",SHAMPOINGS,FEMME
31,Mini pillow talk medium lip kit - Coffret maquillage lèvres,"Darlings, découvrez le secret de la moue Pillow Talk parfaite où que vous soyez avec ce mini duo magique pour les lèvres ! Il comprend un mini rouge à lèvres Matte Revolution et un mini crayon à lèvres Lip Cheat en Pillow Talk Medium, un teinte rose framboise qui va bien à tout le monde pour une moue magique Pillow Talk plus séduisante et profonde !",COFFRET,FEMME
32,Rose Gold Radiance Booster - Booster Eclat,"Donnez un éclat immédiat à votre peau grâce à ce booster haute performance. Sa formule révélatrice de luminosité doit son efficacité aux extraits de mousse d'aloe et de rose de Damas, qui contribuent à l'obtention d'une peau hydratée et repulpée, pour un résultat à l'éclat sublime. Le produit se compose également d'acide hyaluronique repulpant, de vitamine C éclaircissante et de niacinamide. Il apporte un scintillement subtil, synonyme d'éclat naturel et d'effet bonne mine.",SERUM,FEMME
33,Rouge Dior édition limitée Atelier des Rêves - Rouge à lèvres soin floral ,"L'iconique Rouge Dior dévoile une édition limitée couture pour les fêtes de fin d'année. Rendant hommage à l'adresse emblématique de la maison Dior, l'écrin du rouge à lèvres est gravé du motif de la façade du 30, avenue Montaigne et son raisin de la plaque historique. <br><br>

Rouge à lèvres longue tenue à la formule enrichie en ingrédients d'origine naturelle - extrait de pivoine rouge, extrait de fleur de grenadier et beurre de karité - Rouge Dior apporte 16 h<sup>(1)</sup> de confort aux lèvres. <br><br>

Rouge Dior se décline cette saison en 4 teintes exclusives aux différents finis : Winter Poppy, un rouge velours éclatant, Red Pansy, un rouge brun mat, Pink Rose, un rose naturel satiné, et Sparkling Peony, un bordeaux métallique intense. <br><br>

Un maquillage respectueux des lèvres, avec une formule enrichie en ingrédients d'origine naturelle : <br>
- L'action protectrice de l'extrait de pivoine rouge, fleur qu'affectionnait Christian Dior, contribue à préserver l'hydratation naturelle des lèvres pour en révéler l'éclat et sublimer la luminosité des teintes qui les habillent. <br>
- L'extrait de fleur de grenadier agit profondément et contribue à améliorer la qualité globale des lèvres pour leur apporter souplesse et douceur. Les ridules et les stries sont comme estompées, la couleur se révèle plus intense que jamais. <br>
- Le beurre de karité complète l'action protectrice des extraits floraux et fournit une nutrition intense. Sur les lèvres ainsi lissées, l'homogénéité du rouge à lèvres est assurée. <br><br>

* Autoscorage sur 60 sujets.",RAL,FEMME
